,realm,rank,Clustering-wise PPV,Clustering-wise Sensitivity,Clustering-wise Accuracy,Clustering-wise Separation,Complex-wise Separation,Separation,Adjusted Rand Index (ARI),Normalized Mutual Info Score (NMI),Compo Score
0,Adnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
1,Adnaviria,phylum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2,Adnaviria,class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
3,Adnaviria,order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
4,Adnaviria,family,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
5,Adnaviria,genus,0.9411764705882353,0.9642857142857143,0.9526610232449336,0.9411764705882353,0.6050420168067225,0.7546199771644924,0.7741935483870968,0.7602574879146817,2.8581232081188834
6,Duplodnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
7,Duplodnaviria,phylum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
8,Duplodnaviria,class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
9,Duplodnaviria,order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
10,Duplodnaviria,family,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
11,Duplodnaviria,subfamily,0.94945594289618,0.998159057437408,0.9735029784441321,0.9771427015928322,0.8260381601094046,0.8984192559089972,0.9961075184077757,0.9754757166864838,2.92111797877772
12,Duplodnaviria,genus,0.974503352314648,0.9961646294494791,0.9852744647334551,0.9891012045175435,0.9086029246693624,0.9479980206828647,0.9995212211501566,0.989023558994723,2.9559424464975823
13,Monodnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
14,Monodnaviria,phylum,0.6,1.0,0.7745966692414834,0.9999999999999999,0.3333333333333333,0.5773502691896257,0.44303586321934946,0.0,2.3745966692414835
15,Monodnaviria,class,0.6,1.0,0.7745966692414834,1.0,0.3333333333333333,0.5773502691896257,0.44303586321934946,0.0,2.3745966692414835
16,Monodnaviria,order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
17,Monodnaviria,family,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
18,Monodnaviria,subfamily,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
19,Monodnaviria,genus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
20,Riboviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
21,Riboviria,phylum,0.65,1.0,0.806225774829855,1.0,0.5,0.7071067811865476,0.5210526315789473,0.0,2.4562257748298553
22,Riboviria,class,0.65,1.0,0.806225774829855,1.0,0.5,0.7071067811865476,0.5210526315789473,0.0,2.4562257748298553
23,Varidnaviria,realm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
24,Varidnaviria,phylum,0.7241379310344828,1.0,0.8509629433967631,1.0,0.5,0.7071067811865476,0.5862068965517241,0.0,2.575100874431246
25,Varidnaviria,class,0.7241379310344828,1.0,0.8509629433967631,1.0,0.5,0.7071067811865476,0.5862068965517241,0.0,2.575100874431246
26,Varidnaviria,order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
27,Varidnaviria,family,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
28,Varidnaviria,genus,0.9791666666666666,0.9583333333333334,0.9686939947968892,0.9479166666666666,0.9479166666666666,0.9479166666666666,0.9901477832512315,0.9732376462761739,2.9061939947968893
