tip.label,panel
2192_suppressed,Y
PAO258,N
DFI10.1,N
IST27,Y
IST27N,Y
CPHL9433,Y
RDE3,N
RDE4,N
Mi162,Y
15108-1,Y
A5803,Y
39016,Y
PIB1.4,N
PIC7.9,N
LMG14084,Y
PA14,Y
PIB635,N
DFI13.1,N
PAK,Y
AUS52,Y
PIC15_1,N
CHA,Y
679,Y
1709-12,Y
AMT0060-3,Y
AMT0060-2,Y
AMT0060-1,Y
968333S,Y
TBCF10839,Y
PIB19.8,N
KK1,Y
NCTC12903,N
AUS23,Y
NH57388A,Y
C3719,Y
DK2,Y
PIB50.3,N
57P31PA,Y
PIC18_1,N
PIC1.4,N
RP1,Y
PIC21.1,N
LESB58,Y
LES400,Y
LES431,Y
AES-1R,Y
Jpn1563,Y
AMT0023-30,Y
AMT0023-34,Y
PIB10.9,N
RDE1,N
RDE2,N
PIB9.1,N
39177,Y
DFI4.1,N
PIB45.5,N
Pr335,Y
AA2,Y
U018A,Y
PAO1,N
PAO1_panel,Y
13121-1,Y
