Well,Phage,Bacteria
B2,Control,PAO1.HsdR
B3,Control,PAO1.HsdR
B4,Control,PAO1.HsdR
B5,CPL00272,PAO1.HsdR
B6,CPL00272,PAO1.HsdR
B7,CPL00272,PAO1.HsdR
B8,CPL00950,PAO1.HsdR
B9,CPL00950,PAO1.HsdR
B10,CPL00950,PAO1.HsdR
C2,Cocktail,PAO1.HsdR
C3,Cocktail,PAO1.HsdR
C4,Cocktail,PAO1.HsdR
C5,Control,PAO1.PilA
C6,Control,PAO1.PilA
C7,Control,PAO1.PilA
C8,CPL00272,PAO1.PilA
C9,CPL00272,PAO1.PilA
C10,CPL00272,PAO1.PilA
D2,CPL00950,PAO1.PilA
D3,CPL00950,PAO1.PilA
D4,CPL00950,PAO1.PilA
D5,Cocktail,PAO1.PilA
D6,Cocktail,PAO1.PilA
D7,Cocktail,PAO1.PilA
D8,Control,PAO1.GalU
D9,Control,PAO1.GalU
D10,Control,PAO1.GalU
E2,CPL00272,PAO1.GalU
E3,CPL00272,PAO1.GalU
E4,CPL00272,PAO1.GalU
E5,CPL00950,PAO1.GalU
E6,CPL00950,PAO1.GalU
E7,CPL00950,PAO1.GalU
E8,Cocktail,PAO1.GalU
E9,Cocktail,PAO1.GalU
E10,Cocktail,PAO1.GalU
F2,Control,PAO1.PilA.GalU
F3,Control,PAO1.PilA.GalU
F4,Control,PAO1.PilA.GalU
F5,CPL00272,PAO1.PilA.GalU
F6,CPL00272,PAO1.PilA.GalU
F7,CPL00272,PAO1.PilA.GalU
F8,CPL00950,PAO1.PilA.GalU
F9,CPL00950,PAO1.PilA.GalU
F10,CPL00950,PAO1.PilA.GalU
G2,Cocktail,PAO1.PilA.GalU
G3,Cocktail,PAO1.PilA.GalU
G4,Cocktail,PAO1.PilA.GalU
G5,BLK,None
G6,BLK,None
G7,BLK,None
G8,CPL00272,None
G9,CPL00950,None
G10,Cocktail,None
