Well,Content,Well Scan: Average (600),
B02,Sample X1,0.384,
B03,Sample X2,0.402,
B04,Sample X3,0.283,
B05,Sample X4,0.313,
B06,Sample X5,0.408,
B07,Sample X6,0.336,
B08,Sample X7,0.283,
B09,Sample X8,0.443,
B10,Sample X9,0.310,
B11,Sample X10,0.388,
C02,Sample X11,0.232,
C03,Sample X12,0.230,
C04,Sample X13,0.356,
C05,Sample X14,0.365,
C06,Sample X15,0.354,
C07,Sample X16,0.355,
C08,Sample X17,0.362,
C09,Sample X18,0.388,
C10,Sample X19,0.411,
C11,Sample X20,0.625,
D02,Sample X21,0.384,
D03,Sample X22,0.438,
D04,Sample X23,0.337,
D05,Sample X24,0.446,
D06,Sample X25,0.346,
D07,Sample X26,0.453,
D08,Sample X27,0.436,
D09,Sample X28,0.612,
D10,Sample X29,0.610,
D11,Sample X30,0.636,
E02,Sample X31,0.461,
E03,Sample X32,0.700,
E04,Sample X33,0.649,
E05,Sample X34,0.409,
E06,Sample X35,0.340,
E07,Sample X36,0.327,
E08,Sample X37,0.601,
E09,Sample X38,0.671,
E10,Sample X39,0.678,
E11,Sample X40,0.580,
F02,Sample X41,0.657,
F03,Sample X42,0.513,
F04,Sample X43,0.749,
F05,Sample X44,0.396,
F06,Sample X45,0.447,
F07,Sample X46,0.273,
F08,Sample X47,0.690,
F09,Sample X48,0.430,
F10,Sample X49,0.761,
F11,Sample X50,0.911,
G02,Sample X51,0.569,
G03,Sample X52,0.714,
G04,Sample X53,0.743,
G05,Sample X54,0.417,
G06,Sample X55,0.189,
G07,Sample X56,0.464,
G08,Sample X57,0.729,
G09,Sample X58,0.797,
G10,Sample X59,0.710,
G11,Sample X60,0.763,
