Well,Content,Well Scan: Average (600)
B02,Sample X1,0.096
B03,Sample X2,0.098
B04,Sample X3,0.099
B05,Sample X4,0.1
B06,Sample X5,0.098
B07,Sample X6,0.105
B08,Sample X7,0.1
B09,Sample X8,0.099
B10,Sample X9,0.098
B11,Sample X10,0.097
C02,Sample X11,0.098
C03,Sample X12,0.099
C04,Sample X13,0.101
C05,Sample X14,0.105
C06,Sample X15,0.107
C07,Sample X16,0.104
C08,Sample X17,0.103
C09,Sample X18,0.101
C10,Sample X19,0.105
C11,Sample X20,0.097
D02,Sample X21,0.1
D03,Sample X22,0.1
D04,Sample X23,0.099
D05,Sample X24,0.107
D06,Sample X25,0.108
D07,Sample X26,0.107
D08,Sample X27,0.107
D09,Sample X28,0.107
D10,Sample X29,0.102
D11,Sample X30,0.098
E02,Sample X31,0.101
E03,Sample X32,0.102
E04,Sample X33,0.101
E05,Sample X34,0.106
E06,Sample X35,0.112
E07,Sample X36,0.108
E08,Sample X37,0.107
E09,Sample X38,0.107
E10,Sample X39,0.104
E11,Sample X40,0.1
F02,Sample X41,0.098
F03,Sample X42,0.1
F04,Sample X43,0.25
F05,Sample X44,0.1
F06,Sample X45,0.112
F07,Sample X46,0.107
F08,Sample X47,0.103
F09,Sample X48,0.11
F10,Sample X49,0.105
F11,Sample X50,0.1
G02,Sample X51,0.097
G03,Sample X52,0.097
G04,Sample X53,0.482
G05,Sample X54,2.295
G06,Sample X55,1.773
G07,Sample X56,1.853
G08,Sample X57,1.063
G09,Sample X58,1.33
G10,Sample X59,0.753
G11,Sample X60,0.82
