Well,Phage,Concentration
B02,Control,0
B03,Control,0
B04,Control,0
B05,Control,0
B06,Control,0
B07,Control,0
B08,Control,0
B09,Control,0
B10,Control,0
B11,Control,0
C02,CPL00272,1.00E+08
C03,CPL00272,1.00E+08
C04,CPL00272,1.00E+08
C05,CPL00950,1.00E+08
C06,CPL00950,1.00E+08
C07,CPL00950,1.00E+08
C08,Cocktail,1.00E+08
C09,Cocktail,1.00E+08
C10,Cocktail,1.00E+08
C11,Cocktail,1.00E+08
D02,CPL00272,1.00E+07
D03,CPL00272,1.00E+07
D04,CPL00272,1.00E+07
D05,CPL00950,1.00E+07
D06,CPL00950,1.00E+07
D07,CPL00950,1.00E+07
D08,Cocktail,1.00E+07
D09,Cocktail,1.00E+07
D10,Cocktail,1.00E+07
D11,Cocktail,1.00E+07
E02,CPL00272,1.00E+06
E03,CPL00272,1.00E+06
E04,CPL00272,1.00E+06
E05,CPL00950,1.00E+06
E06,CPL00950,1.00E+06
E07,CPL00950,1.00E+06
E08,Cocktail,1.00E+06
E09,Cocktail,1.00E+06
E10,Cocktail,1.00E+06
E11,Cocktail,1.00E+06
F02,CPL00272,1.00E+04
F03,CPL00272,1.00E+04
F04,CPL00272,1.00E+04
F05,CPL00950,1.00E+04
F06,CPL00950,1.00E+04
F07,CPL00950,1.00E+04
F08,Cocktail,1.00E+04
F09,Cocktail,1.00E+04
F10,Cocktail,1.00E+04
F11,Cocktail,1.00E+04
G02,CPL00272,1.00E+02
G03,CPL00272,1.00E+02
G04,CPL00272,1.00E+02
G05,CPL00950,1.00E+02
G06,CPL00950,1.00E+02
G07,CPL00950,1.00E+02
G08,Cocktail,1.00E+02
G09,Cocktail,1.00E+02
G10,Cocktail,1.00E+02
G11,Cocktail,1.00E+02
