Well,phage
A1,No Phage
A2,No Phage
A3,No Phage
A4,CPL00213
A5,No Phage
A6,No Phage
A7,CPL00216
A8,No Phage
A9,CPL00217
A10,No Phage
A11,No Phage
A12,BLK
B1,No Phage
B2,CPL00056
B3,CPL00070
B4,CPL00071
B5,CPL00072
B6,CPL00075
B7,CPL00113
B8,CPL00161
B9,CPL00162
B10,CPL00165
B11,CPL00173
B12,BLK
C1,No Phage
C2,CPL00176
C3,CPL00211
C4,CPL00212
C5,T7
C6,CPL00214
C7,CPL00215
C8,T7
C9,T7
C10,CPL00252
C11,CPL00253
C12,BLK
D1,No Phage
D2,CPL00254
D3,CPL00272 (Tor)
D4,CPL00273
D5,CPL00274
D6,CPL00275
D7,CPL00276
D8,CPL00277
D9,CPL00278
D10,CPL00279
D11,CPL00280
D12,BLK
E1,No Phage
E2,CPL00281
E3,T7
E4,CPL00283
E5,T7
E6,CPL00286
E7,CPL00287
E8,T7
E9,CPL00934
E10,CPL00935
E11,CPL00936
E12,BLK
F1,No Phage
F2,CPL00937
F3,CPL00938
F4,CPL00939
F5,CPL00940
F6,CPL00941
F7,CPL00942
F8,CPL00943
F9,CPL00944
F10,T7
F11,CPL00946
F12,BLK
G1,No Phage
G2,CPL00947
G3,CPL00973
G4,CPL00949
G5,T7
G6,CPL00951
G7,CPL00952
G8,CPL00953
G9,CPL00954
G10,T7
G11,No Phage
G12,BLK
H1,No Phage
H2,CPL00282
H3,No Phage
H4,CPL00285
H5,No Phage
H6,No Phage
H7,CPL00933
H8,No Phage
H9,CPL00945
H10,No Phage
H11,CPL00950
H12,BLK
