,0s,900s,1800s,2700s,3600s,4501s,5400s,6300s,7200s,8100s,9000s,9900s,10800s,11700s,12600s,13500s,14400s,15300s,16200s,17100s,18000s,18900s,19800s,20700s,21600s,22500s,23400s,24300s,25200s,26100s,27000s,27900s,28800s,29700s,30600s,31500s,32400s,33300s,34200s,35100s,36000s,36900s,37800s,38700s,39600s,40500s,41400s,42300s,43200s,44100s,45000s,45900s,46800s,47700s,48600s,49500s,50400s,51300s,52200s,53100s,54000s,54900s,55800s,56700s,57600s,58501s,59400s,60300s,61200s,62100s,63000s,63900s,64800s,65701s,66600s,67500s,68400s,69300s,70200s,71100s,72000s,72900s,73800s,74700s,75600s,76500s,77401s,78300s,79200s,80100s,81000s,81900s,82800s,83700s,84600s,85500s,86400s
A1,0.085,0.09,0.09,0.09,0.09,0.091,0.091,0.092,0.093,0.095,0.097,0.101,0.106,0.114,0.124,0.137,0.152,0.171,0.197,0.222,0.258,0.305,0.346,0.395,0.432,0.467,0.5,0.534,0.565,0.592,0.611,0.625,0.642,0.635,0.617,0.604,0.627,0.581,0.606,0.532,0.552,0.54,0.534,0.512,0.503,0.508,0.518,0.544,0.55,0.524,0.529,0.534,0.539,0.541,0.589,0.554,0.572,0.564,0.57,0.721,0.579,0.59,0.596,0.611,0.609,0.596,0.6,0.603,0.6,0.623,0.601,0.61,0.603,0.595,0.606,0.602,0.598,0.607,0.609,0.726,0.675,0.658,0.617,0.616,0.63,0.629,0.618,0.611,0.609,0.641,0.624,0.627,0.621,0.647,0.622,0.637,0.626
A2,0.093,0.096,0.096,0.096,0.096,0.096,0.096,0.097,0.098,0.099,0.101,0.104,0.108,0.115,0.123,0.135,0.149,0.163,0.185,0.211,0.239,0.282,0.324,0.374,0.414,0.449,0.483,0.515,0.549,0.584,0.607,0.619,0.628,0.618,0.616,0.594,0.579,0.546,0.525,0.506,0.474,0.481,0.485,0.474,0.463,0.463,0.479,0.465,0.463,0.489,0.493,0.468,0.477,0.508,0.499,0.51,0.509,0.518,0.535,0.522,0.508,0.501,0.502,0.503,0.505,0.509,0.51,0.51,0.51,0.51,0.502,0.501,0.501,0.501,0.501,0.501,0.501,0.5,0.501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.501,0.502,0.502,0.501,0.501,0.5,0.504,0.524,0.536,0.544,0.571
A3,0.096,0.097,0.097,0.097,0.097,0.097,0.097,0.098,0.098,0.1,0.102,0.104,0.108,0.114,0.123,0.134,0.148,0.162,0.184,0.211,0.236,0.274,0.319,0.359,0.402,0.437,0.468,0.501,0.532,0.563,0.587,0.598,0.607,0.596,0.593,0.58,0.559,0.518,0.496,0.481,0.473,0.465,0.456,0.448,0.434,0.432,0.432,0.429,0.432,0.436,0.44,0.445,0.451,0.456,0.461,0.464,0.47,0.474,0.488,0.492,0.483,0.503,0.503,0.512,0.497,0.543,0.493,0.493,0.493,0.493,0.492,0.494,0.507,0.493,0.559,0.507,0.509,0.517,0.519,0.517,0.536,0.527,0.537,0.537,0.54,0.518,0.528,0.522,0.519,0.519,0.54,0.54,0.544,0.549,0.539,0.56,0.522
A4,0.087,0.093,0.093,0.093,0.094,0.095,0.095,0.096,0.098,0.1,0.103,0.106,0.112,0.119,0.13,0.143,0.16,0.176,0.202,0.233,0.26,0.302,0.351,0.403,0.467,0.508,0.543,0.57,0.6,0.625,0.647,0.671,0.69,0.713,0.7,0.704,0.69,0.685,0.851,0.679,0.783,0.825,0.79,0.752,0.749,0.709,0.709,0.701,0.727,0.714,0.708,0.78,0.732,0.732,0.734,0.796,0.726,0.734,0.735,0.736,0.74,0.742,0.746,0.748,0.743,0.745,0.75,0.748,0.75,0.746,0.829,0.769,0.759,0.751,0.75,0.764,0.776,0.764,0.773,0.775,0.774,0.765,0.769,0.771,0.766,0.763,0.767,0.763,0.758,0.756,0.75,0.745,0.738,0.734,0.727,0.719,0.717
A5,0.086,0.091,0.091,0.091,0.091,0.091,0.092,0.093,0.094,0.096,0.099,0.103,0.109,0.117,0.128,0.143,0.16,0.177,0.202,0.233,0.262,0.303,0.348,0.386,0.429,0.464,0.496,0.528,0.557,0.585,0.609,0.62,0.636,0.635,0.651,0.638,0.626,0.62,0.597,0.584,0.575,0.567,0.563,0.595,0.575,0.569,0.558,0.573,0.594,0.573,0.588,0.576,0.586,0.603,0.588,0.602,0.611,0.6,0.624,0.613,0.623,0.616,0.628,0.634,0.61,0.64,0.615,0.613,0.606,0.597,0.616,0.625,0.63,0.607,0.581,0.582,0.58,0.584,0.602,0.6,0.597,0.6,0.595,0.596,0.601,0.601,0.602,0.599,0.591,0.589,0.575,0.58,0.581,0.587,0.595,0.614,0.642
A6,0.094,0.099,0.099,0.099,0.099,0.1,0.1,0.101,0.103,0.105,0.107,0.111,0.117,0.125,0.135,0.149,0.165,0.181,0.204,0.234,0.261,0.303,0.346,0.388,0.439,0.477,0.511,0.546,0.583,0.612,0.64,0.654,0.663,0.667,0.665,0.75,0.682,0.666,0.666,0.63,0.639,0.61,0.604,0.609,0.608,0.603,0.603,0.606,0.602,0.603,0.604,0.606,0.611,0.612,0.617,0.621,0.622,0.623,0.624,0.623,0.626,0.631,0.614,0.628,0.621,0.622,0.62,0.618,0.671,0.665,0.673,0.666,0.668,0.663,0.664,0.677,0.681,0.679,0.67,0.668,0.659,0.663,0.657,0.655,0.653,0.651,0.651,0.651,0.65,0.651,0.651,0.647,0.693,0.661,0.662,0.667,0.663
A7,0.087,0.092,0.093,0.093,0.094,0.094,0.095,0.096,0.097,0.099,0.101,0.104,0.107,0.112,0.119,0.127,0.137,0.15,0.167,0.183,0.204,0.228,0.255,0.28,0.312,0.34,0.356,0.371,0.383,0.398,0.412,0.425,0.437,0.452,0.448,0.462,0.493,0.499,0.517,0.53,0.533,0.545,0.531,0.526,0.519,0.516,0.518,0.492,0.545,0.547,0.489,0.502,0.511,0.596,0.525,0.582,0.597,0.599,0.595,0.518,0.517,0.53,0.535,0.612,0.623,0.623,0.628,0.615,0.617,0.622,0.624,0.616,0.627,0.631,0.635,0.638,0.641,0.642,0.642,0.642,0.644,0.643,0.643,0.646,0.644,0.643,0.642,0.647,0.651,0.648,0.631,0.646,0.595,0.604,0.596,0.597,0.601
A8,0.09,0.092,0.092,0.092,0.092,0.093,0.093,0.094,0.095,0.097,0.099,0.102,0.107,0.113,0.122,0.134,0.147,0.161,0.182,0.209,0.233,0.271,0.313,0.353,0.398,0.436,0.473,0.509,0.541,0.569,0.592,0.615,0.621,0.616,0.604,0.585,0.61,0.553,0.626,0.547,0.615,0.607,0.593,0.583,0.59,0.582,0.581,0.602,0.528,0.531,0.526,0.528,0.519,0.558,0.554,0.554,0.553,0.558,0.559,0.558,0.562,0.559,0.543,0.557,0.551,0.55,0.549,0.551,0.551,0.549,0.549,0.548,0.544,0.542,0.542,0.546,0.544,0.546,0.544,0.542,0.522,0.519,0.519,0.519,0.515,0.514,0.536,0.544,0.55,0.555,0.521,0.517,0.517,0.511,0.516,0.511,0.51
A9,0.081,0.084,0.084,0.084,0.085,0.086,0.086,0.087,0.088,0.09,0.091,0.094,0.097,0.101,0.106,0.114,0.122,0.133,0.149,0.166,0.183,0.206,0.233,0.258,0.283,0.314,0.334,0.349,0.363,0.379,0.394,0.408,0.421,0.435,0.451,0.452,0.472,0.49,0.506,0.519,0.525,0.541,0.507,0.517,0.505,0.51,0.524,0.498,0.471,0.464,0.463,0.465,0.463,0.471,0.471,0.467,0.468,0.469,0.469,0.472,0.477,0.48,0.484,0.488,0.493,0.727,0.575,0.515,0.517,0.52,0.523,0.525,0.527,0.529,0.531,0.532,0.533,0.537,0.537,0.539,0.544,0.547,0.547,0.547,0.547,0.545,0.538,0.539,0.538,0.537,0.537,0.538,0.536,0.562,0.566,0.577,0.583
A10,0.089,0.089,0.089,0.089,0.089,0.089,0.09,0.09,0.091,0.092,0.093,0.096,0.1,0.105,0.113,0.124,0.137,0.152,0.172,0.198,0.225,0.261,0.308,0.354,0.404,0.441,0.474,0.505,0.538,0.566,0.584,0.598,0.607,0.605,0.602,0.593,0.582,0.566,0.545,0.526,0.507,0.491,0.479,0.469,0.462,0.458,0.455,0.454,0.454,0.455,0.457,0.46,0.463,0.467,0.47,0.474,0.478,0.483,0.487,0.491,0.495,0.5,0.503,0.507,0.51,0.514,0.516,0.519,0.522,0.524,0.525,0.527,0.528,0.53,0.53,0.531,0.532,0.534,0.538,0.54,0.539,0.54,0.542,0.542,0.541,0.544,0.544,0.559,0.742,0.749,0.699,0.577,0.644,0.552,0.551,0.643,0.755
A11,0.087,0.086,0.087,0.087,0.087,0.087,0.089,0.089,0.09,0.09,0.092,0.095,0.099,0.104,0.113,0.123,0.137,0.151,0.172,0.199,0.226,0.261,0.308,0.356,0.402,0.44,0.473,0.504,0.537,0.563,0.579,0.594,0.607,0.612,0.61,0.608,0.623,0.584,0.569,0.55,0.519,0.501,0.482,0.467,0.463,0.447,0.444,0.433,0.43,0.426,0.429,0.429,0.43,0.433,0.436,0.439,0.443,0.447,0.452,0.457,0.461,0.465,0.469,0.473,0.477,0.481,0.485,0.487,0.49,0.493,0.495,0.497,0.498,0.499,0.5,0.501,0.501,0.502,0.502,0.502,0.503,0.503,0.504,0.505,0.505,0.506,0.506,0.507,0.507,0.507,0.508,0.508,0.508,0.513,0.522,0.516,0.524
A12,0.09,0.091,0.091,0.091,0.091,0.091,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.093,0.093,0.093,0.093,0.093,0.094,0.094,0.095,0.097,0.099,0.102,0.105,0.109,0.113,0.119,0.125,0.132,0.139,0.14,0.132,0.131,0.13,0.13,0.132,0.13,0.126,0.117,0.11,0.104,0.1,0.098,0.096,0.095,0.094,0.094,0.093,0.093,0.093,0.093,0.093,0.094,0.095,0.095,0.094,0.094,0.094,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.094,0.095,0.095,0.096,0.095,0.095,0.095,0.095,0.095,0.095
B1,0.087,0.09,0.09,0.091,0.09,0.091,0.091,0.092,0.093,0.094,0.097,0.1,0.106,0.113,0.123,0.136,0.151,0.17,0.196,0.222,0.259,0.307,0.349,0.398,0.434,0.467,0.501,0.532,0.555,0.581,0.597,0.607,0.611,0.603,0.595,0.576,0.555,0.547,0.547,0.593,0.574,0.519,0.58,0.576,0.556,0.542,0.603,0.611,0.646,0.554,0.551,0.557,0.568,0.575,0.578,0.577,0.577,0.577,0.58,0.578,0.583,0.584,0.584,0.587,0.585,0.587,0.578,0.598,0.598,0.585,0.588,0.579,0.58,0.615,0.6,0.546,0.624,0.636,0.605,0.566,0.581,0.666,0.59,0.643,0.604,0.599,0.616,0.597,0.617,0.603,0.602,0.605,0.594,0.597,0.61,0.614,0.622
B2,0.086,0.094,0.094,0.095,0.094,0.095,0.096,0.097,0.097,0.099,0.102,0.105,0.11,0.116,0.125,0.137,0.151,0.166,0.189,0.217,0.246,0.29,0.339,0.405,0.46,0.502,0.544,0.573,0.611,0.644,0.67,0.695,0.712,0.72,0.73,0.708,0.718,0.764,0.772,0.708,0.711,0.707,0.702,0.707,0.712,0.711,0.712,0.7,0.699,0.718,0.708,0.695,0.707,0.709,0.713,0.707,0.692,0.689,0.698,0.694,0.686,0.701,0.704,0.704,0.687,0.682,0.681,0.685,0.683,0.677,0.669,0.71,0.699,0.7,0.683,0.685,0.691,0.688,0.696,0.686,0.697,0.696,0.696,0.695,0.695,0.69,0.702,0.704,0.702,0.694,0.685,0.685,0.677,0.678,0.676,0.678,0.666
B3,0.108,0.098,0.098,0.099,0.098,0.099,0.098,0.099,0.1,0.101,0.104,0.107,0.112,0.119,0.129,0.142,0.156,0.173,0.197,0.224,0.256,0.3,0.337,0.384,0.423,0.46,0.497,0.531,0.56,0.579,0.595,0.606,0.61,0.605,0.594,0.58,0.563,0.545,0.53,0.518,0.511,0.506,0.502,0.501,0.5,0.502,0.504,0.507,0.51,0.514,0.519,0.523,0.527,0.531,0.534,0.537,0.539,0.542,0.546,0.547,0.552,0.553,0.554,0.556,0.556,0.557,0.555,0.556,0.555,0.555,0.556,0.555,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.553,0.553,0.555,0.553,0.553,0.554,0.555,0.555,0.554,0.554,0.553,0.553,0.554,0.554,0.554,0.557,0.552,0.564
