replicate,time,test,plaques,vol plated,dilution,PFU_per_mL
1,initial,control,0,0.1,1000,0
1,F+A,control,3,0.02,1,150
1,F,control,0,0.04,1,0
1,A,control,6,0.1,1,60
1,bacteria,control,20,0.1,1000000,200000000
1,10,test,9,0.02,1,450
1,20,test,4,0.02,1,200
1,30,test,7,0.02,1,350
1,40,test,0.6,0.02,10,300
1,50,test,20,0.02,10,10000
1,60,test,33,0.02,10,16500
1,70,test,31,0.02,10,15500
1,80,test,44,0.02,10,22000
2,initial,control,0,0.1,1000,0
2,F+A,control,2,0.02,1,100
2,F,control,1,0.04,1,25
2,A,control,6,0.1,1,60
2,bacteria,control,24,0.1,1000000,240000000
2,10,test,9,0.02,1,450
2,20,test,5,0.02,1,250
2,30,test,7,0.02,1,350
2,40,test,1,0.02,10,500
2,50,test,28,0.02,10,14000
2,60,test,39,0.02,10,19500
2,70,test,54,0.02,10,27000
2,80,test,65,0.02,10,32500
3,initial,control,10,0.1,1000,100000
3,F+A,control,4,0.02,1,200
3,F,control,1,0.04,1,25
3,A,control,6,0.1,1,60
3,bacteria,control,53,0.1,1000000,530000000
3,10,test,5,0.02,1,250
3,20,test,6,0.02,1,300
3,30,test,8,0.02,1,400
3,40,test,1,0.02,10,500
3,50,test,11,0.02,10,5500
3,60,test,39,0.02,10,19500
3,70,test,32,0.02,10,16000
3,80,test,48,0.02,10,24000
