Phage,Month,Buffer,Temperature,Repeat,PFU1,DF1,PFU2,DF2,PFU3,DF3
272,1,SM,4,1,16,5,23,5,25,5
272,1,SM,4,2,30,5,29,5,29,5
272,1,SM,4,3,14,5,13,5,13,5
272,1,Saline,4,1,13,5,28,5,15,5
272,1,Saline,4,2,25,5,22,5,12,5
272,1,Saline,4,3,11,5,15,5,17,5
272,1,LB,4,1,16,5,15,5,7,5
272,1,LB,4,2,35,5,33,5,42,5
272,1,LB,4,3,18,5,11,5,7,5
950,1,SM,4,1,26,5,29,5,23,5
950,1,SM,4,2,37,5,30,5,40,5
950,1,SM,4,3,9,5,10,5,15,5
950,1,Saline,4,1,16,5,17,5,12,5
950,1,Saline,4,2,9,5,7,5,7,5
950,1,Saline,4,3,16,5,19,5,19,5
272,1,SM,RT,1,36,5,29,5,41,5
272,1,SM,RT,2,22,5,25,5,20,5
272,1,SM,RT,3,27,5,32,5,28,5
272,1,Saline,RT,1,58,5,47,5,50,5
272,1,Saline,RT,2,50,5,58,5,52,5
272,1,Saline,RT,3,59,5,63,5,57,5
272,1,LB,RT,1,26,5,26,5,22,5
272,1,LB,RT,2,20,5,14,5,19,5
272,1,LB,RT,3,23,5,29,5,24,5
950,1,SM,RT,1,16,5,13,5,14,5
950,1,SM,RT,2,17,5,13,5,17,5
950,1,SM,RT,3,17,5,9,5,15,5
950,1,Saline,RT,1,18,5,8,5,14,5
950,1,Saline,RT,2,8,5,12,5,16,5
950,1,Saline,RT,3,15,5,21,5,17,5
272,2,SM,4,1,37,5,37,5,10,6
272,2,SM,4,2,32,5,14,6,49,5
272,2,SM,4,3,13,6,12,6,48,5
272,2,Saline,4,1,34,5,28,5,41,5
272,2,Saline,4,2,42,5,32,5,63,5
272,2,Saline,4,3,44,5,32,5,36,5
272,2,LB,4,1,6,5,30,5,11,5
272,2,LB,4,2,17,5,25,5,19,5
272,2,LB,4,3,44,5,28,5,25,5
950,2,SM,4,1,13,5,11,5,13,5
950,2,SM,4,2,21,5,11,5,13,5
950,2,SM,4,3,21,5,22,5,14,5
950,2,Saline,4,1,40,5,24,5,25,5
950,2,Saline,4,2,24,5,49,5,25,5
950,2,Saline,4,3,27,5,44,5,31,5
272,2,SM,RT,1,26,5,37,5,30,5
272,2,SM,RT,2,46,5,67,5,42,5
272,2,SM,RT,3,42,5,36,5,39,5
272,2,Saline,RT,1,53,5,27,5,47,5
272,2,Saline,RT,2,9,6,10,6,6,6
272,2,Saline,RT,3,10,6,8,6,8,6
272,2,LB,RT,1,17,5,31,5,21,5
272,2,LB,RT,2,35,5,21,5,19,5
272,2,LB,RT,3,38,5,34,5,36,5
950,2,SM,RT,1,14,5,21,5,22,5
950,2,SM,RT,2,39,5,23,5,44,5
950,2,SM,RT,3,24,5,19,5,23,5
950,2,Saline,RT,1,10,5,7,5,9,5
950,2,Saline,RT,2,13,5,9,5,33,5
950,2,Saline,RT,3,5,5,24,4,33,4
272,5,SM,4,1,6,6,12,6,7,6
272,5,SM,4,2,13,6,11,6,15,6
272,5,SM,4,3,17,6,40,5,30,5
272,5,Saline,4,1,38,5,46,5,55,5
272,5,Saline,4,2,51,5,10,6,49,5
272,5,Saline,4,3,20,6,67,5,9,6
272,5,LB,4,1,26,5,39,5,30,5
272,5,LB,4,2,25,5,38,5,26,5
272,5,LB,4,3,33,5,87,6,44,5
950,5,SM,4,1,21,5,38,5,45,5
950,5,SM,4,2,39,5,35,5,26,5
950,5,SM,4,3,14,5,67,5,18,6
950,5,Saline,4,1,4,6,18,6,14,6
950,5,Saline,4,2,48,6,19,6,36,6
950,5,Saline,4,3,6,6,51,6,11,6
272,5,SM,RT,1,18,6,14,6,14,6
272,5,SM,RT,2,11,6,17,6,34,6
272,5,SM,RT,3,11,6,3,6,8,6
272,5,Saline,RT,1,3,4,2,4,1,4
272,5,Saline,RT,2,20,5,22,5,28,5
272,5,Saline,RT,3,7,4,8,4,6,4
272,5,LB,RT,1,23,5,27,5,18,5
272,5,LB,RT,2,25,5,34,5,29,5
272,5,LB,RT,3,35,5,53,5,28,5
950,5,SM,RT,1,35,6,28,6,54,6
950,5,SM,RT,2,16,6,12,6,15,6
950,5,SM,RT,3,36,5,12,6,11,6
950,5,Saline,RT,1,10,4,21,4,18,4
950,5,Saline,RT,2,27,4,25,4,6,4
950,5,Saline,RT,3,NA,NA,NA,NA,NA,NA
