Particle Diameter,Sample,Replicate,Number PFU,Fraction of total PFU recovered,cumulative PFU,cumulative PFU recovered
,Pre,1,NA,,,
14.1,1,1,2751597,0.002687432,1216422437,1
8.61,2,1,39317600,0.038400743,1202023708,0.988163053
5.39,3,1,202713000,0.197985886,1066023708,0.876359788
3.3,4,1,625514400,0.610927876,856023708.2,0.703722393
2.08,5,1,134142400,0.1310143,462023708.2,0.379821758
1.36,6,1,19404000,0.018951513,226023708.2,0.18581021
0.98,7,1,26012.74,2.54061E-05,6023708.163,0.004951987
MOC,8,1,7006.86,6.84347E-06,714985.7143,0.000587777
,Post,1,NA,,,
,Pre,2,NA,,,
14.1,1,2,916146,0.000744386,1543491214,1
8.61,2,2,95261400,0.077401665,1538384491,0.996691447
5.39,3,2,309014200,0.251079802,1187384491,0.769284905
3.3,4,2,582746400,0.473492321,846384491.3,0.548357181
2.08,5,2,242788000,0.197269779,455384491.3,0.295035364
1.36,6,2,13827.6,1.12352E-05,384491.3043,0.000249105
0.98,7,2,1000.46,8.12892E-07,217491.3043,0.000140909
MOC,8,2,0,0,0,0
,Post,2,NA,,,
,Pre,3,NA,,,
14.1,1,3,2136855,0.002195523,1226553456,1
8.61,2,3,92659500,0.095203487,1214377644,0.99007315
5.39,3,3,199462500,0.204938786,865377644.4,0.70553602
3.3,4,3,538002000,0.552772962,640377644.4,0.522095177
2.08,5,3,140940000,0.144809538,271377644.4,0.221252195
1.36,6,3,75573,7.76479E-05,1377644.444,0.001123183
0.98,7,3,2000.9,2.05584E-06,444644.4444,0.000362515
MOC,8,3,0,0,0,0
,Post,3,NA,,,
