Well,,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11
Content,Time,Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60
Raw Data  (600),0 h ,0.400,0.389,0.371,0.376,0.381,0.380,0.401,0.422,0.419,0.092,0.407,0.400,0.404,0.411,0.392,0.390,0.398,0.407,0.436,0.091,0.387,0.387,0.373,0.353,0.366,0.383,0.397,0.384,0.411,0.091,0.407,0.385,0.383,0.364,0.390,0.373,0.411,0.399,0.407,0.091,0.391,0.392,0.385,0.386,0.388,0.387,0.365,0.386,0.399,0.091,0.389,0.387,0.386,0.364,0.382,0.387,0.395,0.390,0.409,0.091
Raw Data  (600),0 h 30 min,0.396,0.398,0.384,0.378,0.383,0.382,0.392,0.405,0.407,0.092,0.411,0.402,0.400,0.411,0.393,0.396,0.390,0.405,0.423,0.092,0.389,0.381,0.376,0.361,0.378,0.399,0.416,0.395,0.406,0.091,0.410,0.386,0.382,0.373,0.391,0.381,0.409,0.403,0.412,0.091,0.398,0.393,0.384,0.388,0.392,0.391,0.363,0.390,0.409,0.091,0.387,0.385,0.385,0.369,0.385,0.385,0.396,0.385,0.406,0.092
Raw Data  (600),1 h ,0.392,0.391,0.383,0.384,0.394,0.394,0.366,0.406,0.419,0.091,0.403,0.399,0.398,0.412,0.398,0.390,0.396,0.410,0.432,0.090,0.386,0.384,0.377,0.371,0.385,0.393,0.412,0.393,0.416,0.092,0.403,0.384,0.375,0.376,0.392,0.383,0.417,0.407,0.411,0.092,0.391,0.388,0.385,0.386,0.388,0.388,0.363,0.390,0.408,0.092,0.385,0.391,0.381,0.363,0.391,0.391,0.395,0.390,0.402,0.092
Raw Data  (600),1 h 30 min,0.397,0.387,0.384,0.394,0.392,0.402,0.402,0.395,0.410,0.091,0.407,0.399,0.398,0.413,0.403,0.395,0.401,0.403,0.433,0.091,0.386,0.371,0.383,0.391,0.389,0.396,0.408,0.398,0.415,0.090,0.405,0.381,0.376,0.383,0.397,0.391,0.416,0.407,0.412,0.090,0.389,0.393,0.382,0.387,0.384,0.388,0.365,0.392,0.409,0.092,0.388,0.386,0.383,0.366,0.386,0.388,0.392,0.393,0.406,0.092
Raw Data  (600),2 h ,0.396,0.381,0.383,0.394,0.384,0.398,0.411,0.403,0.410,0.091,0.399,0.398,0.400,0.409,0.402,0.396,0.405,0.409,0.434,0.090,0.384,0.376,0.378,0.381,0.394,0.395,0.412,0.397,0.410,0.090,0.410,0.390,0.384,0.382,0.393,0.397,0.416,0.410,0.407,0.090,0.390,0.391,0.383,0.388,0.382,0.390,0.363,0.400,0.406,0.090,0.391,0.388,0.388,0.368,0.387,0.394,0.395,0.392,0.407,0.090
Raw Data  (600),2 h 30 min,0.394,0.389,0.388,0.389,0.399,0.395,0.400,0.433,0.413,0.091,0.399,0.398,0.399,0.405,0.402,0.396,0.407,0.412,0.432,0.090,0.387,0.379,0.377,0.387,0.392,0.395,0.412,0.407,0.416,0.090,0.403,0.390,0.379,0.383,0.393,0.389,0.413,0.412,0.406,0.089,0.388,0.390,0.385,0.384,0.388,0.392,0.365,0.396,0.409,0.090,0.385,0.389,0.386,0.366,0.390,0.385,0.400,0.397,0.407,0.090
Raw Data  (600),3 h ,0.390,0.384,0.384,0.390,0.392,0.395,0.412,0.421,0.420,0.091,0.402,0.398,0.398,0.409,0.403,0.401,0.407,0.410,0.436,0.090,0.386,0.375,0.387,0.391,0.399,0.402,0.408,0.404,0.419,0.090,0.404,0.391,0.385,0.385,0.396,0.403,0.416,0.409,0.409,0.090,0.391,0.389,0.384,0.386,0.382,0.393,0.365,0.403,0.410,0.090,0.388,0.387,0.386,0.362,0.382,0.392,0.403,0.395,0.404,0.090
Raw Data  (600),3 h 30 min,0.391,0.381,0.385,0.402,0.403,0.410,0.398,0.410,0.416,0.091,0.402,0.398,0.401,0.415,0.405,0.405,0.411,0.413,0.435,0.090,0.389,0.376,0.392,0.389,0.402,0.396,0.408,0.407,0.418,0.090,0.406,0.390,0.385,0.391,0.394,0.405,0.416,0.411,0.409,0.089,0.392,0.386,0.372,0.389,0.387,0.394,0.370,0.409,0.412,0.090,0.389,0.391,0.383,0.370,0.381,0.394,0.401,0.399,0.407,0.090
Raw Data  (600),4 h ,0.392,0.382,0.385,0.399,0.405,0.408,0.413,0.426,0.417,0.091,0.401,0.401,0.408,0.413,0.413,0.405,0.407,0.412,0.434,0.090,0.389,0.378,0.388,0.390,0.398,0.402,0.413,0.401,0.417,0.090,0.413,0.394,0.387,0.388,0.395,0.404,0.418,0.412,0.408,0.090,0.390,0.390,0.385,0.386,0.390,0.396,0.371,0.408,0.409,0.090,0.391,0.393,0.389,0.370,0.391,0.394,0.403,0.399,0.402,0.090
