plate,Column,bacteria
Plate2,2,RDE1
Plate2,3,RDE1
Plate2,4,RDE2
Plate2,5,RDE2
Plate2,6,PIB9.1
Plate2,7,PIB9.1
Plate2,8,PIB45.5
Plate2,9,PIB45.5
Plate2,10,None
Plate3,2,DFI10.1
Plate3,3,DFI10.1
Plate3,4,PA01
Plate3,5,PA01
Plate3,6,PIC7.1
Plate3,7,PIC7.1
Plate3,8,PIB29.5
Plate3,9,PIB29.5
Plate3,10,None
Plate4,2,PIB15.1
Plate4,3,PIC15.1
Plate4,4,RDE4
Plate4,5,RDE4
Plate4,6,PIB63.5
Plate4,7,PIB63.5
Plate4,8,PIB19.8
Plate4,9,PIB19.8
Plate4,10,None
Plate5,2,PAO258
Plate5,3,PAO258
Plate5,4,PIB1.4
Plate5,5,PIB1.4
Plate5,6,NCTC12903
Plate5,7,NCTC12903
Plate5,8,DFI4.1
Plate5,9,DFI4.1
Plate5,10,None
Plate6,2,PIB58.1
Plate6,3,PIB58.1
Plate6,4,PIB52.5
Plate6,5,PIB52.5
Plate6,6,PIC50.3
Plate6,7,PIC50.3
Plate6,8,PIC1.4
Plate6,9,PIC1.4
Plate6,10,None
Plate7,2,RDE3
Plate7,3,RDE3
Plate7,4,PIC21.1
Plate7,5,PIC21.1
Plate7,6,PIC18.1
Plate7,7,PIC18.1
Plate7,8,PIB10.9
Plate7,9,PIB10.9
Plate7,10,None
