Well,,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
Content,Time,Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data  (600),0 h ,0.351,0.346,0.327,0.321,0.279,0.262,0.261,0.259,0.259,0.251,0.260,0.262,0.350,0.386,0.376,0.369,0.358,0.364,0.370,0.393,0.367,0.364,0.354,0.267,0.345,0.392,0.468,0.433,0.396,0.356,0.380,0.380,0.380,0.373,0.337,0.274,0.346,0.423,0.411,0.391,0.391,0.387,0.399,0.398,0.356,0.359,0.338,0.281,0.317,0.398,0.411,0.383,0.356,0.363,0.379,0.381,0.371,0.364,0.344,0.275,0.332,0.404,0.408,0.399,0.373,0.362,0.369,0.361,0.373,0.370,0.355,0.260,0.311,0.391,0.406,0.422,0.389,0.389,0.385,0.362,0.370,0.351,0.336,0.272,0.307,0.308,0.310,0.291,0.285,0.296,0.276,0.268,0.284,0.270,0.276,0.264
Raw Data  (600),0 h 15 min,0.344,0.341,0.331,0.313,0.278,0.271,0.261,0.260,0.253,0.249,0.260,0.259,0.349,0.404,0.389,0.388,0.366,0.372,0.379,0.389,0.364,0.377,0.364,0.267,0.342,0.430,0.472,0.481,0.398,0.367,0.402,0.413,0.391,0.378,0.358,0.274,0.339,0.411,0.466,0.397,0.401,0.386,0.401,0.401,0.369,0.378,0.376,0.283,0.322,0.413,0.408,0.390,0.379,0.367,0.395,0.404,0.390,0.381,0.364,0.282,0.338,0.414,0.412,0.401,0.386,0.376,0.381,0.376,0.365,0.374,0.369,0.267,0.320,0.428,0.422,0.415,0.404,0.388,0.395,0.394,0.381,0.378,0.360,0.276,0.321,0.308,0.303,0.303,0.290,0.296,0.285,0.277,0.288,0.281,0.278,0.264
Raw Data  (600),0 h 30 min,0.337,0.342,0.325,0.313,0.274,0.267,0.257,0.257,0.256,0.248,0.261,0.259,0.352,0.409,0.391,0.396,0.371,0.370,0.383,0.396,0.365,0.356,0.357,0.264,0.346,0.420,0.473,0.469,0.399,0.371,0.407,0.410,0.367,0.373,0.362,0.279,0.339,0.408,0.448,0.401,0.402,0.390,0.400,0.413,0.371,0.387,0.366,0.274,0.321,0.411,0.416,0.405,0.393,0.384,0.405,0.420,0.377,0.393,0.385,0.287,0.339,0.415,0.417,0.402,0.391,0.381,0.389,0.383,0.376,0.372,0.368,0.270,0.322,0.429,0.427,0.417,0.403,0.390,0.395,0.387,0.388,0.382,0.372,0.274,0.319,0.309,0.301,0.302,0.290,0.293,0.284,0.275,0.295,0.278,0.279,0.267
Raw Data  (600),0 h 45 min,0.339,0.339,0.326,0.311,0.279,0.274,0.260,0.261,0.260,0.251,0.262,0.261,0.350,0.404,0.395,0.391,0.376,0.366,0.394,0.386,0.363,0.379,0.369,0.270,0.345,0.418,0.474,0.483,0.400,0.375,0.413,0.418,0.387,0.383,0.361,0.281,0.342,0.419,0.434,0.402,0.403,0.389,0.400,0.409,0.373,0.377,0.365,0.287,0.326,0.415,0.414,0.401,0.395,0.389,0.399,0.422,0.393,0.394,0.374,0.284,0.340,0.424,0.414,0.397,0.383,0.381,0.380,0.376,0.375,0.379,0.369,0.266,0.327,0.434,0.427,0.418,0.393,0.390,0.395,0.387,0.383,0.376,0.371,0.281,0.326,0.307,0.311,0.305,0.294,0.299,0.284,0.273,0.278,0.276,0.280,0.264
Raw Data  (600),1 h ,0.284,0.284,0.332,0.311,0.274,0.267,0.256,0.260,0.249,0.249,0.261,0.260,0.349,0.408,0.384,0.393,0.378,0.375,0.385,0.397,0.354,0.361,0.357,0.268,0.348,0.424,0.473,0.504,0.413,0.388,0.413,0.428,0.399,0.379,0.378,0.280,0.344,0.411,0.426,0.408,0.406,0.392,0.404,0.419,0.368,0.378,0.374,0.280,0.324,0.421,0.419,0.407,0.394,0.388,0.403,0.396,0.404,0.389,0.379,0.279,0.342,0.423,0.416,0.413,0.394,0.386,0.393,0.387,0.379,0.379,0.376,0.266,0.321,0.422,0.424,0.414,0.397,0.387,0.392,0.389,0.383,0.381,0.371,0.276,0.320,0.307,0.307,0.301,0.294,0.296,0.285,0.277,0.276,0.275,0.277,0.265
Raw Data  (600),1 h 15 min,0.284,0.286,0.331,0.310,0.277,0.271,0.259,0.259,0.251,0.249,0.260,0.262,0.348,0.407,0.391,0.390,0.378,0.364,0.389,0.382,0.357,0.360,0.351,0.269,0.349,0.427,0.471,0.473,0.413,0.392,0.416,0.426,0.386,0.386,0.367,0.273,0.335,0.417,0.423,0.409,0.407,0.403,0.409,0.418,0.376,0.385,0.379,0.271,0.321,0.422,0.422,0.407,0.397,0.394,0.385,0.416,0.395,0.400,0.377,0.277,0.341,0.426,0.427,0.415,0.394,0.389,0.396,0.401,0.381,0.390,0.377,0.269,0.329,0.431,0.435,0.432,0.413,0.393,0.404,0.402,0.395,0.386,0.385,0.278,0.319,0.303,0.302,0.298,0.287,0.299,0.285,0.272,0.283,0.277,0.277,0.267
Raw Data  (600),1 h 30 min,0.285,0.289,0.330,0.310,0.280,0.274,0.261,0.260,0.251,0.251,0.260,0.262,0.292,0.409,0.401,0.393,0.372,0.369,0.395,0.387,0.364,0.371,0.366,0.267,0.347,0.422,0.472,0.490,0.411,0.388,0.419,0.423,0.378,0.393,0.370,0.277,0.343,0.410,0.416,0.410,0.411,0.397,0.413,0.427,0.383,0.390,0.383,0.265,0.292,0.414,0.415,0.399,0.410,0.380,0.397,0.383,0.397,0.388,0.377,0.282,0.339,0.420,0.420,0.401,0.386,0.380,0.386,0.385,0.372,0.379,0.369,0.269,0.330,0.424,0.421,0.424,0.401,0.389,0.392,0.388,0.388,0.381,0.374,0.280,0.328,0.305,0.298,0.301,0.292,0.296,0.289,0.276,0.277,0.286,0.281,0.266
Raw Data  (600),1 h 45 min,0.293,0.284,0.324,0.310,0.276,0.266,0.260,0.256,0.258,0.252,0.263,0.263,0.291,0.406,0.392,0.386,0.374,0.369,0.392,0.377,0.353,0.357,0.361,0.269,0.352,0.416,0.473,0.494,0.414,0.393,0.422,0.435,0.383,0.382,0.372,0.277,0.294,0.409,0.420,0.406,0.407,0.398,0.407,0.423,0.371,0.382,0.377,0.274,0.292,0.419,0.415,0.403,0.388,0.384,0.397,0.408,0.395,0.383,0.379,0.277,0.341,0.426,0.423,0.418,0.394,0.385,0.400,0.392,0.381,0.381,0.384,0.271,0.330,0.424,0.425,0.419,0.407,0.395,0.400,0.398,0.391,0.380,0.387,0.281,0.314,0.310,0.306,0.304,0.291,0.296,0.288,0.282,0.281,0.277,0.286,0.267
Raw Data  (600),2 h ,0.287,0.285,0.320,0.311,0.275,0.270,0.257,0.260,0.253,0.250,0.257,0.261,0.289,0.412,0.399,0.397,0.373,0.370,0.384,0.379,0.364,0.362,0.365,0.265,0.346,0.417,0.476,0.506,0.420,0.403,0.425,0.435,0.393,0.389,0.382,0.278,0.296,0.412,0.420,0.410,0.404,0.402,0.412,0.415,0.363,0.378,0.381,0.265,0.291,0.419,0.419,0.404,0.399,0.387,0.390,0.407,0.391,0.389,0.361,0.273,0.339,0.422,0.431,0.418,0.401,0.389,0.398,0.399,0.385,0.392,0.379,0.270,0.323,0.421,0.429,0.418,0.405,0.401,0.398,0.391,0.399,0.385,0.389,0.274,0.317,0.309,0.305,0.304,0.288,0.293,0.286,0.282,0.282,0.265,0.281,0.261
