Well,content,titre,phage
A01,protector,0,none
A02,protector,0,none
A03,protector,0,none
A04,protector,0,none
A05,protector,0,none
A06,protector,0,none
A07,protector,0,none
A08,protector,0,none
A09,protector,0,none
A10,protector,0,none
A11,protector,0,none
A12,protector,0,none
B01,protector,0,none
B02,bacteria,0,tor
B03,bacteria,0,tor
B04,bacteria,0,tor
B05,bacteria,0,torv1.1
B06,bacteria,0,torv1.1
B07,bacteria,0,torv1.1
B08,tor_only,0,none
B09,torv1.1_only,0,none
B10,blk,0,none
B11,blk,0,none
B12,protector,0,none
C01,protector,0,none
C02,bacteria,1.00E+06,tor
C03,bacteria,1.00E+06,tor
C04,bacteria,1.00E+06,tor
C05,bacteria,1.00E+06,torv1.1
C06,bacteria,1.00E+06,torv1.1
C07,bacteria,1.00E+06,torv1.1
C08,tor_only,1.00E+06,tor
C09,torv1.1_only,1.00E+06,torv1.1
C10,blk,0.00E+00,none
C11,blk,0.00E+00,none
C12,protector,0.00E+00,none
D01,protector,1.00E+05,none
D02,bacteria,1.00E+05,tor
D03,bacteria,1.00E+05,tor
D04,bacteria,1.00E+05,tor
D05,bacteria,1.00E+05,torv1.1
D06,bacteria,1.00E+05,torv1.1
D07,bacteria,1.00E+05,torv1.1
D08,tor_only,1.00E+05,tor
D09,torv1.1_only,1.00E+05,torv1.1
D10,blk,0.00E+00,none
D11,blk,0.00E+00,none
D12,protector,0.00E+00,none
E01,protector,0.00E+00,none
E02,bacteria,1.00E+04,tor
E03,bacteria,1.00E+04,tor
E04,bacteria,1.00E+04,tor
E05,bacteria,1.00E+04,torv1.1
E06,bacteria,1.00E+04,torv1.1
E07,bacteria,1.00E+04,torv1.1
E08,tor_only,1.00E+04,tor
E09,torv1.1_only,1.00E+04,torv1.1
E10,blk,0.00E+00,none
E11,blk,0.00E+00,none
E12,protector,0.00E+00,none
F01,protector,0.00E+00,none
F02,bacteria,1.00E+03,tor
F03,bacteria,1.00E+03,tor
F04,bacteria,1.00E+03,tor
F05,bacteria,1.00E+03,torv1.1
F06,bacteria,1.00E+03,torv1.1
F07,bacteria,1.00E+03,torv1.1
F08,tor_only,1.00E+03,tor
F09,torv1.1_only,1.00E+03,torv1.1
F10,blk,0.00E+00,none
F11,blk,0.00E+00,none
F12,protector,0.00E+00,none
G01,protector,0.00E+00,none
G02,bacteria,1.00E+02,tor
G03,bacteria,1.00E+02,tor
G04,bacteria,1.00E+02,tor
G05,bacteria,1.00E+02,torv1.1
G06,bacteria,1.00E+02,torv1.1
G07,bacteria,1.00E+02,torv1.1
G08,tor_only,1.00E+02,tor
G09,torv1.1_only,1.00E+02,torv1.1
G10,blk,0.00E+00,none
G11,blk,0.00E+00,none
G12,protector,0.00E+00,none
H01,protector,0.00E+00,none
H02,protector,0.00E+00,none
H03,protector,0.00E+00,none
H04,protector,0.00E+00,none
H05,protector,0.00E+00,none
H06,protector,0.00E+00,none
H07,protector,0.00E+00,none
H08,protector,0.00E+00,none
H09,protector,0.00E+00,none
H10,protector,0.00E+00,none
H11,protector,0.00E+00,none
H12,protector,0.00E+00,none
