bacterial_strain,phage,replicate,dilution,count,pfu
PAO1.hsdr,P272,1,8,3,1.5E+11
PAO1.oprM,P272,1,8,3,1.5E+11
PAO1.wbpL,P272,1,7,26,1.3E+11
PAO1.pilA,P272,1,7,4,20000000000
PAO1.galU,P272,1,0,0,0
PAO1.algC,P272,1,0,0,0
PAO1.pilA.galU,P272,1,0,0,0
PAO1.pilA.algC,P272,1,0,0,0
PAO1.hsdr,P272,2,8,5,2.5E+11
PAO1.oprM,P272,2,9,1,5E+11
PAO1.wbpL,P272,2,8,7,3.5E+11
PAO1.pilA,P272,2,8,3,1.5E+11
PAO1.galU,P272,2,0,0,0
PAO1.algC,P272,2,0,0,0
PAO1.pilA.galU,P272,2,0,0,0
PAO1.pilA.algC,P272,2,0,0,0
PAO1.hsdr,P272,3,9,4,2E+12
PAO1.oprM,P272,3,9,3,1.5E+12
PAO1.wbpL,P272,3,8,22,1.1E+12
PAO1.pilA,P272,3,8,3,1.5E+11
PAO1.galU,P272,3,0,0,0
PAO1.algC,P272,3,0,0,0
PAO1.pilA.galU,P272,3,0,0,0
PAO1.pilA.algC,P272,3,0,0,0
PAO1.hsdr,P950,1,9,3,1.5E+12
PAO1.oprM,P950,1,9,5,2.5E+12
PAO1.wbpL,P950,1,9,3,1.5E+12
PAO1.pilA,P950,1,8,3,1.5E+11
PAO1.galU,P950,1,0,0,0
PAO1.algC,P950,1,0,0,0
PAO1.pilA.galU,P950,1,0,0,0
PAO1.pilA.algC,P950,1,0,0,0
PAO1.hsdr,P950,2,9,3,1.5E+12
PAO1.oprM,P950,2,9,2,1E+12
PAO1.wbpL,P950,2,9,8,4E+12
PAO1.pilA,P950,2,8,3,1.5E+11
PAO1.galU,P950,2,0,0,0
PAO1.algC,P950,2,0,0,0
PAO1.pilA.galU,P950,2,0,0,0
PAO1.pilA.algC,P950,2,0,0,0
PAO1.hsdr,P950,3,8,9,4.5E+11
PAO1.oprM,P950,3,8,5,2.5E+11
PAO1.wbpL,P950,3,9,1,5E+11
PAO1.pilA,P950,3,8,4,2E+11
PAO1.galU,P950,3,0,0,0
PAO1.algC,P950,3,0,0,0
PAO1.pilA.galU,P950,3,0,0,0
PAO1.pilA.algC,P950,3,0,0,0
PAO1.hsdr,cocktail,1,8,9,4.5E+11
PAO1.oprM,cocktail,1,9,2,1E+12
PAO1.wbpL,cocktail,1,8,7,3.5E+11
PAO1.pilA,cocktail,1,8,2,1E+11
PAO1.galU,cocktail,1,0,0,0
PAO1.algC,cocktail,1,0,0,0
PAO1.pilA.galU,cocktail,1,0,0,0
PAO1.pilA.algC,cocktail,1,0,0,0
PAO1.hsdr,cocktail,2,9,1,5E+11
PAO1.oprM,cocktail,2,8,3,1.5E+11
PAO1.wbpL,cocktail,2,8,3,1.5E+11
PAO1.pilA,cocktail,2,7,6,30000000000
PAO1.galU,cocktail,2,0,0,0
PAO1.algC,cocktail,2,0,0,0
PAO1.pilA.galU,cocktail,2,0,0,0
PAO1.pilA.algC,cocktail,2,0,0,0
PAO1.hsdr,cocktail,3,9,1,5E+11
PAO1.oprM,cocktail,3,8,1,50000000000
PAO1.wbpL,cocktail,3,7,13,65000000000
PAO1.pilA,cocktail,3,7,2,10000000000
PAO1.galU,cocktail,3,0,0,0
PAO1.algC,cocktail,3,0,0,0
PAO1.pilA.galU,cocktail,3,0,0,0
PAO1.pilA.algC,cocktail,3,0,0,0
