,0s,899s,1799s,2699s,3599s,4499s,5399s,6299s,7199s,8099s,8999s,9899s,10799s,11699s,12599s,13499s,14399s
A1,0.08,0.081,0.081,0.082,0.081,0.082,0.082,0.088,0.089,0.083,0.091,0.104,0.088,0.09,0.093,0.094,0.096
A2,0.082,0.083,0.083,0.083,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.083,0.082,0.082,0.082,0.082,0.082
A3,0.082,0.083,0.083,0.083,0.082,0.083,0.083,0.083,0.082,0.083,0.083,0.083,0.083,0.083,0.083,0.082,0.083
A4,0.088,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.089,0.09,0.09,0.09
A5,0.087,0.088,0.088,0.088,0.087,0.088,0.088,0.088,0.087,0.088,0.089,0.088,0.088,0.088,0.088,0.087,0.088
A6,0.084,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.086,0.085,0.086,0.085,0.086
A7,0.084,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
A8,0.084,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
A9,0.078,0.078,0.078,0.078,0.078,0.078,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079
A10,0.075,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076
A11,0.077,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078
A12,0.086,0.088,0.088,0.088,0.087,0.088,0.088,0.089,0.087,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
B1,0.079,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.081,0.08,0.08,0.081,0.08,0.08,0.081
B2,0.081,0.081,0.081,0.081,0.082,0.082,0.083,0.084,0.085,0.087,0.09,0.094,0.099,0.105,0.116,0.127,0.145
B3,0.083,0.084,0.084,0.084,0.086,0.086,0.088,0.09,0.094,0.099,0.105,0.113,0.124,0.139,0.159,0.187,0.232
B4,0.084,0.087,0.087,0.087,0.089,0.089,0.09,0.091,0.094,0.096,0.1,0.106,0.114,0.124,0.138,0.158,0.188
B5,0.088,0.089,0.09,0.09,0.09,0.091,0.092,0.093,0.094,0.098,0.102,0.108,0.116,0.126,0.139,0.155,0.178
B6,0.082,0.085,0.085,0.085,0.086,0.085,0.086,0.086,0.087,0.087,0.089,0.09,0.092,0.094,0.097,0.101,0.107
B7,0.082,0.082,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
B8,0.085,0.087,0.087,0.087,0.087,0.089,0.09,0.092,0.092,0.092,0.092,0.092,0.093,0.094,0.095,0.096,0.098
B9,0.075,0.075,0.076,0.076,0.077,0.078,0.079,0.081,0.082,0.082,0.082,0.083,0.083,0.085,0.086,0.088,0.089
B10,0.072,0.073,0.074,0.074,0.074,0.076,0.077,0.079,0.079,0.079,0.079,0.08,0.081,0.082,0.084,0.084,0.086
B11,0.071,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072
B12,0.082,0.086,0.086,0.086,0.085,0.086,0.086,0.086,0.085,0.086,0.087,0.086,0.086,0.086,0.086,0.085,0.086
C1,0.08,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
C2,0.08,0.081,0.081,0.081,0.082,0.082,0.083,0.085,0.087,0.09,0.094,0.099,0.106,0.116,0.13,0.149,0.177
C3,0.081,0.083,0.084,0.084,0.085,0.086,0.088,0.091,0.096,0.101,0.108,0.118,0.13,0.15,0.177,0.221,0.269
C4,0.084,0.086,0.087,0.087,0.088,0.089,0.089,0.091,0.094,0.096,0.1,0.106,0.114,0.123,0.138,0.16,0.197
C5,0.087,0.09,0.09,0.091,0.09,0.092,0.092,0.093,0.095,0.098,0.102,0.108,0.116,0.126,0.14,0.156,0.178
C6,0.083,0.086,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.088,0.09,0.092,0.094,0.098,0.102,0.105,0.109
C7,0.081,0.082,0.082,0.082,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
C8,0.087,0.088,0.088,0.088,0.088,0.09,0.091,0.093,0.093,0.093,0.093,0.094,0.094,0.095,0.097,0.097,0.099
C9,0.076,0.076,0.076,0.076,0.077,0.078,0.079,0.081,0.081,0.081,0.082,0.082,0.083,0.084,0.085,0.086,0.087
C10,0.075,0.074,0.074,0.074,0.074,0.076,0.078,0.079,0.079,0.079,0.079,0.08,0.08,0.081,0.083,0.083,0.085
C11,0.071,0.072,0.072,0.072,0.072,0.072,0.072,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.072,0.073
C12,0.082,0.086,0.086,0.086,0.085,0.086,0.086,0.086,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.085,0.086
D1,0.08,0.081,0.08,0.08,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
D2,0.079,0.08,0.08,0.081,0.081,0.082,0.083,0.085,0.087,0.09,0.094,0.1,0.106,0.117,0.13,0.149,0.179
D3,0.081,0.084,0.084,0.085,0.086,0.087,0.09,0.093,0.098,0.103,0.109,0.119,0.131,0.149,0.175,0.218,0.262
D4,0.084,0.086,0.086,0.087,0.088,0.088,0.089,0.091,0.094,0.096,0.1,0.105,0.113,0.123,0.137,0.159,0.196
D5,0.088,0.09,0.09,0.09,0.09,0.091,0.092,0.093,0.095,0.098,0.102,0.108,0.116,0.126,0.141,0.16,0.189
D6,0.083,0.086,0.086,0.086,0.086,0.086,0.087,0.087,0.088,0.088,0.09,0.092,0.095,0.096,0.1,0.103,0.111
D7,0.083,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.085,0.085,0.085,0.085,0.085,0.086,0.085
D8,0.085,0.087,0.087,0.087,0.087,0.089,0.09,0.093,0.096,0.097,0.098,0.096,0.092,0.088,0.087,0.086,0.086
D9,0.075,0.076,0.076,0.076,0.077,0.078,0.08,0.083,0.087,0.089,0.089,0.087,0.082,0.078,0.077,0.076,0.076
