Well,phage,bacteria
A1,Protector,None
A2,Protector,None
A3,Protector,None
A4,Protector,None
A5,Protector,None
A6,Protector,None
A7,Protector,None
A8,Protector,None
A9,Protector,None
A10,Protector,None
A11,Protector,None
A12,Protector,None
B1,Protector,None
B2,CPL00272,CPL00272_R1
B3,CPL00272,CPL00272_R2
B4,CPL00272,CPL00272_R3
B5,CPL00272,CPL00071_R1
B6,CPL00272,CPL00071_R2
B7,CPL00272,CPL00071_R3
B8,CPL00272,PAO1_WT
B9,CPL00272,PAO1_WT
B10,CPL00272,PAO1_WT
B11,BLK,None
B12,Protector,None
C1,Protector,None
C2,CPL00272,CPL00272_R1
C3,CPL00272,CPL00272_R2
C4,CPL00272,CPL00272_R3
C5,CPL00272,CPL00071_R1
C6,CPL00272,CPL00071_R2
C7,CPL00272,CPL00071_R3
C8,CPL00272,PAO1_WT
C9,CPL00272,PAO1_WT
C10,CPL00272,PAO1_WT
C11,BLK,None
C12,Protector,None
D1,Protector,None
D2,CPL00071,CPL00272_R1
D3,CPL00071,CPL00272_R2
D4,CPL00071,CPL00272_R3
D5,CPL00071,CPL00071_R1
D6,CPL00071,CPL00071_R2
D7,CPL00071,CPL00071_R3
D8,CPL00071,PAO1_WT
D9,CPL00071,PAO1_WT
D10,CPL00071,PAO1_WT
D11,BLK,None
D12,Protector,None
E1,Protector,None
E2,CPL00071,CPL00272_R1
E3,CPL00071,CPL00272_R2
E4,CPL00071,CPL00272_R3
E5,CPL00071,CPL00071_R1
E6,CPL00071,CPL00071_R2
E7,CPL00071,CPL00071_R3
E8,CPL00071,PAO1_WT
E9,CPL00071,PAO1_WT
E10,CPL00071,PAO1_WT
E11,CPL00272,None
E12,Protector,None
F1,Protector,None
F2,No Phage,CPL00272_R1
F3,No Phage,CPL00272_R2
F4,No Phage,CPL00272_R3
F5,No Phage,CPL00071_R1
F6,No Phage,CPL00071_R2
F7,No Phage,CPL00071_R3
F8,No Phage,PAO1_WT
F9,No Phage,PAO1_WT
F10,No Phage,PAO1_WT
F11,CPL00071,None
F12,Protector,None
G1,Protector,None
G2,No Phage,CPL00272_R1
G3,No Phage,CPL00272_R2
G4,No Phage,CPL00272_R3
G5,No Phage,CPL00071_R1
G6,No Phage,CPL00071_R2
G7,No Phage,CPL00071_R3
G8,No Phage,PAO1_WT
G9,No Phage,PAO1_WT
G10,No Phage,PAO1_WT
G11,No Phage,None
G12,Protector,None
H1,Protector,None
H2,Protector,None
H3,Protector,None
H4,Protector,None
H5,Protector,None
H6,Protector,None
H7,Protector,None
H8,Protector,None
H9,Protector,None
H10,Protector,None
H11,Protector,None
H12,Protector,None
