Well,,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11
Content,Time,Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60
Raw Data  (600),0 h ,0.382,0.375,0.418,0.381,0.373,0.365,0.411,0.397,0.404,0.091,0.365,0.360,0.361,0.369,0.361,0.357,0.380,0.405,0.406,0.090,0.347,0.368,0.367,0.374,0.337,0.332,0.369,0.376,0.374,0.092,0.377,0.370,0.370,0.359,0.359,0.365,0.366,0.373,0.378,0.090,0.375,0.373,0.375,0.360,0.442,0.446,0.439,0.440,0.386,0.092,0.382,0.361,0.370,0.351,0.349,0.334,0.353,0.364,0.387,0.094
Raw Data  (600),0 h 30 min,0.394,0.377,0.434,0.403,0.398,0.423,0.422,0.427,0.409,0.092,0.372,0.395,0.414,0.398,0.406,0.406,0.419,0.430,0.417,0.090,0.356,0.401,0.408,0.407,0.393,0.393,0.440,0.395,0.408,0.093,0.378,0.398,0.412,0.425,0.396,0.418,0.421,0.396,0.395,0.090,0.387,0.382,0.411,0.389,0.463,0.484,0.455,0.455,0.405,0.094,0.383,0.360,0.385,0.374,0.379,0.380,0.378,0.396,0.390,0.094
Raw Data  (600),1 h ,0.388,0.380,0.404,0.404,0.404,0.417,0.421,0.413,0.398,0.091,0.365,0.385,0.404,0.397,0.410,0.409,0.416,0.409,0.411,0.089,0.343,0.355,0.393,0.396,0.391,0.368,0.423,0.387,0.396,0.092,0.372,0.380,0.388,0.397,0.392,0.413,0.405,0.379,0.381,0.090,0.382,0.380,0.396,0.379,0.441,0.451,0.435,0.437,0.395,0.094,0.380,0.366,0.378,0.361,0.393,0.370,0.379,0.390,0.392,0.092
Raw Data  (600),1 h 30 min,0.380,0.368,0.385,0.386,0.397,0.402,0.403,0.397,0.388,0.093,0.365,0.375,0.388,0.377,0.389,0.397,0.396,0.404,0.409,0.089,0.355,0.357,0.373,0.372,0.367,0.363,0.395,0.393,0.396,0.091,0.372,0.375,0.373,0.378,0.365,0.377,0.384,0.386,0.393,0.090,0.374,0.381,0.377,0.369,0.435,0.438,0.435,0.435,0.392,0.092,0.377,0.367,0.375,0.366,0.378,0.369,0.386,0.391,0.386,0.092
Raw Data  (600),2 h ,0.384,0.373,0.389,0.389,0.388,0.409,0.401,0.408,0.390,0.093,0.371,0.377,0.386,0.379,0.390,0.397,0.405,0.401,0.409,0.089,0.338,0.355,0.377,0.377,0.373,0.374,0.399,0.404,0.396,0.091,0.371,0.377,0.373,0.387,0.374,0.384,0.370,0.392,0.396,0.090,0.374,0.382,0.375,0.376,0.435,0.441,0.436,0.438,0.393,0.092,0.374,0.365,0.375,0.370,0.377,0.376,0.385,0.399,0.387,0.091
Raw Data  (600),2 h 30 min,0.384,0.376,0.388,0.383,0.395,0.409,0.408,0.400,0.385,0.092,0.368,0.380,0.386,0.381,0.399,0.405,0.410,0.414,0.413,0.089,0.348,0.358,0.379,0.380,0.374,0.382,0.398,0.400,0.403,0.091,0.377,0.378,0.380,0.394,0.372,0.382,0.383,0.394,0.399,0.090,0.372,0.384,0.382,0.374,0.436,0.436,0.437,0.437,0.392,0.092,0.377,0.366,0.377,0.367,0.385,0.388,0.386,0.401,0.392,0.091
Raw Data  (600),3 h ,0.383,0.372,0.390,0.383,0.402,0.397,0.417,0.422,0.394,0.092,0.373,0.378,0.392,0.390,0.403,0.409,0.418,0.413,0.420,0.089,0.332,0.352,0.380,0.365,0.378,0.382,0.402,0.403,0.408,0.091,0.375,0.377,0.382,0.385,0.373,0.383,0.391,0.398,0.397,0.089,0.369,0.376,0.378,0.376,0.435,0.437,0.436,0.434,0.390,0.091,0.380,0.368,0.378,0.367,0.396,0.390,0.385,0.406,0.390,0.091
Raw Data  (600),3 h 30 min,0.386,0.376,0.386,0.390,0.397,0.403,0.407,0.428,0.395,0.092,0.371,0.380,0.388,0.388,0.405,0.409,0.421,0.427,0.414,0.088,0.342,0.356,0.381,0.389,0.383,0.390,0.408,0.409,0.403,0.090,0.382,0.377,0.374,0.395,0.380,0.388,0.394,0.402,0.403,0.090,0.377,0.377,0.380,0.381,0.432,0.436,0.439,0.442,0.391,0.092,0.385,0.373,0.380,0.370,0.405,0.401,0.397,0.399,0.389,0.091
Raw Data  (600),4 h ,0.387,0.374,0.382,0.389,0.398,0.397,0.428,0.421,0.396,0.092,0.373,0.376,0.393,0.390,0.404,0.407,0.422,0.429,0.417,0.089,0.334,0.355,0.380,0.389,0.381,0.388,0.413,0.411,0.401,0.090,0.382,0.380,0.384,0.387,0.380,0.386,0.400,0.411,0.397,0.090,0.374,0.382,0.380,0.378,0.432,0.434,0.443,0.444,0.394,0.091,0.388,0.380,0.394,0.385,0.424,0.420,0.409,0.407,0.389,0.091
