genome,species_cluster,genus_cluster
CPL00947,14,1
CPL00973,14,1
CPL00072,3,1
CPL00162,3,1
CPL00213,3,1
CPL00071,2,1
CPL00075,4,1
CPL00934,4,1
CPL00277,7,1
CPL00287,7,1
CPL00173,7,1
CPL00279,7,1
CPL00950,7,1
CPL00273,7,1
CPL00274,7,1
CPL00278,12,1
CPL00283,1,1
CPL00285,1,1
CPL00275,1,1
CPL00272 (Tor),1,1
CPL00113,1,1
CPL00276,1,1
CPL00056,1,1
CPL00070,1,1
CPL00281,1,1
CPL00286,1,1
CPL00176,1,1
CPL00280,1,1
CPL00284,13,5
CPL00212,9,4
CPL00215,10,4
CPL00217,10,4
CPL00214,10,4
CPL00216,10,4
CPL00211,8,2
CPL00254,11,2
CPL00161,5,2
CPL00252,5,2
CPL00253,5,2
