genome,CPL00165,CPL00947,CPL00973,CPL00072,CPL00162,CPL00213,CPL00071,CPL00075,CPL00934,CPL00277,CPL00287,CPL00173,CPL00279,CPL00950,CPL00273,CPL00274,CPL00278,CPL00283,CPL00285,CPL00275,CPL00272 (Tor),CPL00113,CPL00276,CPL00070,CPL00281,CPL00286,CPL00176,CPL00280,CPL00212,CPL00215,CPL00217,CPL00214,CPL00216,CPL00211,CPL00254,CPL00161,CPL00252,CPL00253
CPL00165,100,0.117,0.117,0.108,0.085,0.091,0.067,0.096,0.089,0.089,0.041,0.089,0.089,0.098,0.098,0.098,0.108,0.076,0.067,0.067,0.067,0.067,0.067,0.067,0.085,0.107,0.108,0.107,0,0,0,0,0,0,0,0,0.036,0.036
CPL00947,0.117,100,99.492,86.594,86.005,86.596,85.306,85.826,86.611,85.087,84.946,85.708,85.342,85.786,85.788,85.787,85.85,86.818,86.004,85.935,86.062,86.335,86.139,86.131,85.986,86.166,86.153,86.235,0.23,0.298,0.298,0.298,0.298,0.134,0.142,0.142,0.142,0.142
CPL00973,0.117,99.492,100,86.452,85.776,86.513,85.144,85.728,86.543,84.978,84.834,85.581,85.26,85.684,85.685,85.684,85.716,86.67,85.896,85.821,85.97,86.242,86.052,86.043,85.925,86.062,86.055,86.137,0.128,0.195,0.195,0.195,0.195,0.134,0.142,0.142,0.142,0.142
CPL00072,0.108,86.594,86.452,100,95.922,95.935,93.909,93.552,93.305,92.514,92.433,92.519,92.086,92.711,92.708,92.707,91.408,92.494,93.983,94.209,94.094,94.267,94.197,94.206,93.972,94.275,94.085,94.122,0,0.22,0.22,0.22,0.22,0.162,0.202,0.154,0.117,0.117
CPL00162,0.085,86.005,85.776,95.922,100,96.336,94.502,94.044,94.08,92.825,92.489,92.822,92.702,92.615,92.615,92.615,92.266,93.393,94.699,95.049,94.943,94.874,94.841,94.97,94.536,94.929,94.663,94.736,0,0.241,0.241,0.241,0.241,0.141,0.181,0.154,0.184,0.184
CPL00213,0.091,86.596,86.513,95.935,96.336,100,94.797,93.869,93.846,92.956,92.824,92.808,92.515,92.832,92.83,92.829,92.746,93.015,94.487,94.728,94.879,94.954,95.021,95.051,94.6,94.784,94.536,94.603,0.09,0.273,0.273,0.273,0.273,0.141,0.143,0.116,0.184,0.184
CPL00071,0.067,85.306,85.144,93.909,94.502,94.797,100,94.207,94.235,93.552,93.263,93.29,93.031,94.125,94.124,94.127,91.301,92.119,93.293,93.406,92.887,93.253,93.257,93.172,92.861,93.421,93.268,93.322,0.232,0.295,0.295,0.295,0.295,0.118,0.213,0.201,0.232,0.232
CPL00075,0.096,85.826,85.728,93.552,94.044,93.869,94.207,100,95.143,94.85,94.245,94.96,95.047,95.023,95.024,95.023,92.499,94.417,95.343,95.733,95.256,95.553,95.55,95.522,95.011,95.229,95.065,95.133,0.104,0.19,0.19,0.19,0.19,0.136,0.193,0.166,0.234,0.234
CPL00934,0.089,86.611,86.543,93.305,94.08,93.846,94.235,95.143,100,93.281,93.363,93.667,93.799,93.938,93.94,93.938,91.773,92.725,94.18,94.502,93.9,94.324,94.272,94.272,93.615,94.334,94.155,94.22,0.18,0.211,0.21,0.211,0.21,0.119,0.176,0.149,0.15,0.15
CPL00277,0.089,85.087,84.978,92.514,92.825,92.956,93.552,94.85,93.281,100,97.691,96.418,96.28,97.189,97.188,97.187,94.06,94.82,94.15,94.333,94.017,93.953,93.955,94.07,94.004,93.984,93.906,93.875,0.188,0.24,0.24,0.24,0.24,0.119,0.176,0.149,0.149,0.149
