genome,PT07,PNM,14-1,CPL00272,CPL00950
PT07,100,0.075,0,0.115,0
PNM,0.075,100,0.137,0.132,0.136
14-1,0,0.137,100,93.525,93.944
CPL00272,0.115,0.132,93.525,100,94.09
CPL00950,0,0.136,93.944,94.09,100
